study_name,scenario,scenario_label,scenario_group,protocol,protocol_label,fnd_mean,fnd_count,fnd_std,fnd_min,fnd_max,fnd_ci95_low,fnd_ci95_high,fnd_ci95_half_width,hnd_mean,hnd_count,hnd_std,hnd_min,hnd_max,hnd_ci95_low,hnd_ci95_high,hnd_ci95_half_width,lnd_mean,lnd_count,lnd_std,lnd_min,lnd_max,lnd_ci95_low,lnd_ci95_high,lnd_ci95_half_width,average_residual_energy_final_round_mean,average_residual_energy_final_round_count,average_residual_energy_final_round_std,average_residual_energy_final_round_min,average_residual_energy_final_round_max,average_residual_energy_final_round_ci95_low,average_residual_energy_final_round_ci95_high,average_residual_energy_final_round_ci95_half_width,packet_delivery_ratio_mean,packet_delivery_ratio_count,packet_delivery_ratio_std,packet_delivery_ratio_min,packet_delivery_ratio_max,packet_delivery_ratio_ci95_low,packet_delivery_ratio_ci95_high,packet_delivery_ratio_ci95_half_width,end_to_end_delay_mean,end_to_end_delay_count,end_to_end_delay_std,end_to_end_delay_min,end_to_end_delay_max,end_to_end_delay_ci95_low,end_to_end_delay_ci95_high,end_to_end_delay_ci95_half_width,average_aoi_mean,average_aoi_count,average_aoi_std,average_aoi_min,average_aoi_max,average_aoi_ci95_low,average_aoi_ci95_high,average_aoi_ci95_half_width,hazardous_event_delivery_success_rate_mean,hazardous_event_delivery_success_rate_count,hazardous_event_delivery_success_rate_std,hazardous_event_delivery_success_rate_min,hazardous_event_delivery_success_rate_max,hazardous_event_delivery_success_rate_ci95_low,hazardous_event_delivery_success_rate_ci95_high,hazardous_event_delivery_success_rate_ci95_half_width,packets_generated_mean,packets_generated_count,packets_generated_std,packets_generated_min,packets_generated_max,packets_generated_ci95_low,packets_generated_ci95_high,packets_generated_ci95_half_width,packets_delivered_mean,packets_delivered_count,packets_delivered_std,packets_delivered_min,packets_delivered_max,packets_delivered_ci95_low,packets_delivered_ci95_high,packets_delivered_ci95_half_width,hazardous_packets_generated_mean,hazardous_packets_generated_count,hazardous_packets_generated_std,hazardous_packets_generated_min,hazardous_packets_generated_max,hazardous_packets_generated_ci95_low,hazardous_packets_generated_ci95_high,hazardous_packets_generated_ci95_half_width,hazardous_packets_delivered_mean,hazardous_packets_delivered_count,hazardous_packets_delivered_std,hazardous_packets_delivered_min,hazardous_packets_delivered_max,hazardous_packets_delivered_ci95_low,hazardous_packets_delivered_ci95_high,hazardous_packets_delivered_ci95_half_width
ablation,hazardous_spike,Hazardous Spike,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,259.0,10,3.1622776601683795,250.0,260.0,256.7378428371459,261.2621571628541,2.262157162854099,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0135694287711737,10,0.0038822019667282,0.0081889430721161,0.0188139988400068,0.0107922687838331,0.0163465887585143,0.0027771599873405,0.8287882402270912,10,0.0089589207657389,0.8142094017094017,0.8398504273504274,0.8223794143871175,0.8351970660670649,0.0064088258399737,1.1591834604543727,10,0.0259329382568399,1.1253216675244466,1.1939197930142302,1.140632153979773,1.1777347669289724,0.0185513064745997,0.3652350427350427,10,0.0209315203947187,0.3384615384615385,0.3988247863247863,0.3502615350678449,0.3802085504022406,0.0149735076671978,1.0,10,0.0,1.0,1.0,1.0,1.0,0.0,9358.6,10,4.427188724235732,9346.0,9360.0,9355.432979972004,9361.767020027995,3.167020027995739,7756.3,10,84.17844802032828,7621.0,7861.0,7696.082365873278,7816.517634126722,60.21763412672233,2487.2,10,27.563260571516818,2453.0,2541.0,2467.482431198609,2506.91756880139,19.71756880139067,2487.2,10,27.563260571516818,2453.0,2541.0,2467.482431198609,2506.91756880139,19.71756880139067
ablation,hazardous_spike,Hazardous Spike,evaluation,no_aoi_term,No AoI,259.0,10,3.1622776601683795,250.0,260.0,256.7378428371459,261.2621571628541,2.262157162854099,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0136370906351148,10,0.0038578603289509,0.0082108036088256,0.0186946157035393,0.0108773436064613,0.0163968376637684,0.0027597470286535,0.82878083675049,10,0.0089605088839503,0.8142094017094017,0.8398504273504274,0.8223708748391861,0.8351907986617938,0.0064099619113037,1.158595012768117,10,0.0256825288272216,1.1267370046320124,1.1938907584778669,1.1402228384083195,1.1769671871279146,0.0183721743597976,0.3655555555555556,10,0.0211357443629327,0.3384615384615385,0.3988247863247863,0.3504359548623275,0.3806751562487837,0.015119600693228,1.0,10,0.0,1.0,1.0,1.0,1.0,0.0,9358.2,10,5.692099788303083,9342.0,9360.0,9354.128117106864,9362.271882893136,4.071882893137378,7755.9,10,84.3266795794124,7621.0,7861.0,7695.576327403801,7816.223672596198,60.32367259619858,2487.2,10,27.563260571516818,2453.0,2541.0,2467.482431198609,2506.91756880139,19.71756880139067,2487.2,10,27.563260571516818,2453.0,2541.0,2467.482431198609,2506.91756880139,19.71756880139067
ablation,hazardous_spike,Hazardous Spike,evaluation,no_priority_scheduler,No Priority Scheduler,259.0,10,3.1622776601683795,250.0,260.0,256.7378428371459,261.2621571628541,2.262157162854099,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0135694287711737,10,0.0038822019667282,0.0081889430721161,0.0188139988400068,0.0107922687838331,0.0163465887585143,0.0027771599873405,0.8287882402270912,10,0.0089589207657389,0.8142094017094017,0.8398504273504274,0.8223794143871175,0.8351970660670649,0.0064088258399737,1.1591834604543727,10,0.0259329382568399,1.1253216675244466,1.1939197930142302,1.140632153979773,1.1777347669289724,0.0185513064745997,0.3652350427350427,10,0.0209315203947187,0.3384615384615385,0.3988247863247863,0.3502615350678449,0.3802085504022406,0.0149735076671978,1.0,10,0.0,1.0,1.0,1.0,1.0,0.0,9358.6,10,4.427188724235732,9346.0,9360.0,9355.432979972004,9361.767020027995,3.167020027995739,7756.3,10,84.17844802032828,7621.0,7861.0,7696.082365873278,7816.517634126722,60.21763412672233,2487.2,10,27.563260571516818,2453.0,2541.0,2467.482431198609,2506.91756880139,19.71756880139067,2487.2,10,27.563260571516818,2453.0,2541.0,2467.482431198609,2506.91756880139,19.71756880139067
ablation,hazardous_spike,Hazardous Spike,evaluation,no_suppression,No Suppression,242.4,10,14.683323874382122,217.0,260.0,231.8961828635973,252.90381713640272,10.503817136402718,255.5,10,5.873670062235365,243.0,260.0,251.29822955748295,259.70177044251705,4.201770442517031,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0039186034018384,10,0.0030198250831103,0.0011603006469557,0.0079629003410213,0.0017583506737586,0.0060788561299181,0.0021602527280797,0.998335265748965,10,0.0014457964750191,0.9967466905990576,1.0,0.9973010052559064,0.9993695262420236,0.0010342604930585,1.1312761108322915,10,0.0251635871862272,1.1013050919982883,1.169646950939936,1.113275164959184,1.149277056705399,0.0180009458731073,0.2255235042735042,10,0.2968540938403999,0.0,0.8763888888888889,0.0131668781738635,0.437880130373145,0.2123566260996407,1.0,10,0.0,1.0,1.0,1.0,1.0,0.0,9162.2,10,216.717840110643,8752.0,9360.0,9007.169396425976,9317.230603574026,155.03060357402532,9147.2,10,228.2142268425291,8724.0,9360.0,8983.945376783407,9310.454623216594,163.25462321659276,2487.2,10,27.563260571516818,2453.0,2541.0,2467.482431198609,2506.91756880139,19.71756880139067,2487.2,10,27.563260571516818,2453.0,2541.0,2467.482431198609,2506.91756880139,19.71756880139067
ablation,hazardous_spike,Hazardous Spike,evaluation,no_tcn_prediction,No Prediction,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0191848982611975,10,0.0037639564032996,0.0137541430849869,0.023669358434275,0.0164923260542581,0.0218774704681369,0.0026925722069394,0.8210470085470085,10,0.0086672454388468,0.8063034188034188,0.8318376068376069,0.8148468346664335,0.8272471824275835,0.006200173880575,1.105840178484563,10,0.0238693926754265,1.0770320752286486,1.1391530944625408,1.0887650435924492,1.122915313376677,0.0170751348921138,0.3822115384615384,10,0.0211060239371296,0.3544871794871794,0.4188034188034188,0.3671131984801575,0.3973098784429193,0.0150983399813808,1.0,10,0.0,1.0,1.0,1.0,1.0,0.0,9360.0,10,0.0,9360.0,9360.0,9360.0,9360.0,0.0,7685.0,10,81.1254173076067,7547.0,7786.0,7626.9663724778175,7743.0336275221825,58.03362752218244,2487.2,10,27.563260571516818,2453.0,2541.0,2467.482431198609,2506.91756880139,19.71756880139067,2487.2,10,27.563260571516818,2453.0,2541.0,2467.482431198609,2506.91756880139,19.71756880139067
ablation,hotspot_heavy,Hotspot Heavy,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,195.0,10,20.499322482029065,160.0,235.0,180.33566809439847,209.66433190560153,14.664331905601529,257.3,10,7.242620765686656,237.0,260.0,252.1189412178115,262.48105878218854,5.181058782188508,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0029327066800087,10,0.0011759148359754,0.0002751487071612,0.0044211336558044,0.0020915078812395,0.0037739054787779,0.0008411987987691,0.9900126041058396,10,0.0027047226918516,0.9855177407675596,0.9948209862643548,0.98807776204944,0.9919474461622388,0.0019348420563994,1.1601830290190611,10,0.0250153748839703,1.134102536192446,1.2145481263776634,1.1422881078399256,1.1780779501981966,0.0178949211791354,1.2284722222222224,10,1.11327937892743,0.101602564102564,3.5447649572649573,0.4320801302120755,2.0248643142323695,0.7963920920101469,0.9975014889843048,10,0.0010014304782325,0.996096291476903,0.9987333755541482,0.9967851087758338,0.9982178691927756,0.0007163802084708,8933.6,10,295.69323443205275,8286.0,9270.0,8722.073802695002,9145.126197305,211.5261973049981,8844.7,10,303.6496702158957,8166.0,9187.0,8627.482111409978,9061.917888590024,217.21788859002288,1844.2,10,581.5450302618209,1068.0,3031.0,1428.1877464590084,2260.2122535409917,416.0122535409917,1839.6,10,580.1205238760496,1066.0,3022.0,1424.606776939694,2254.5932230603057,414.9932230603057
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_aoi_term,No AoI,194.1,10,20.609868186542744,159.0,235.0,179.35658846124727,208.84341153875272,14.743411538752737,258.2,10,4.4671641514002545,246.0,260.0,255.00438327411229,261.3956167258877,3.195616725887714,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0028358258628885,10,0.0011596400912822,0.0003196385029502,0.0044149177516077,0.0020062693151288,0.0036653824106482,0.0008295565477597,0.9900502149738124,10,0.0025844606080708,0.9858479251619092,0.9945762711864408,0.988201403229574,0.9918990267180507,0.0018488117442383,1.1611484105881298,10,0.0234525507209741,1.1335508428493746,1.2091240875912408,1.1443714664668392,1.1779253547094204,0.0167769441212906,1.2514423076923078,10,1.0844762876150886,0.0991452991452991,3.4277777777777776,0.475654705966257,2.0272299094183586,0.7757876017260508,0.9970326877007614,10,0.0013437708883868,0.9948619139370584,0.9987325728770596,0.9960714119156876,0.997993963485835,0.0009612757850736,8932.9,10,282.3577124460704,8338.0,9275.0,8730.913460442633,9134.886539557368,201.9865395573663,8844.3,10,289.55868720059726,8220.0,9195.0,8637.162193422135,9051.437806577864,207.1378065778648,1842.1,10,579.917130095135,1066.0,3032.0,1427.2522760855063,2256.947723914493,414.8477239144933,1836.7,10,578.2627334429299,1062.0,3021.0,1423.0357601559056,2250.3642398440943,413.6642398440944
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_priority_scheduler,No Priority Scheduler,195.0,10,20.499322482029065,160.0,235.0,180.33566809439847,209.66433190560153,14.664331905601529,257.3,10,7.242620765686656,237.0,260.0,252.1189412178115,262.48105878218854,5.181058782188508,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0029327066800087,10,0.0011759148359754,0.0002751487071612,0.0044211336558044,0.0020915078812395,0.0037739054787779,0.0008411987987691,0.9900126041058396,10,0.0027047226918516,0.9855177407675596,0.9948209862643548,0.98807776204944,0.9919474461622388,0.0019348420563994,1.160207060420516,10,0.0250621564830414,1.134102536192446,1.2146705853539064,1.1422786737014117,1.1781354471396202,0.0179283867191041,1.2293055555555557,10,1.1147370627506084,0.101602564102564,3.546474358974359,0.4318706993557506,2.0267404117553607,0.797434856199805,0.9974038970893552,10,0.0011326962177381,0.9954780361757106,0.9987333755541482,0.9965936150276096,0.9982141791511012,0.0008102820617458,8933.6,10,295.69323443205275,8286.0,9270.0,8722.073802695002,9145.126197305,211.5261973049981,8844.7,10,303.6496702158957,8166.0,9187.0,8627.482111409978,9061.917888590024,217.21788859002288,1844.2,10,581.5450302618209,1068.0,3031.0,1428.1877464590084,2260.2122535409917,416.0122535409917,1839.4,10,579.9511856852935,1066.0,3021.0,1424.5279141838994,2254.272085816101,414.8720858161007
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_suppression,No Suppression,193.4,10,21.245653150180573,160.0,238.0,178.2017752967854,208.5982247032146,15.1982247032146,256.6,10,6.310485101972923,240.0,260.0,252.08575090216715,261.1142490978329,4.514249097832864,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0024010944926103,10,0.0010146665213755,0.0003681183729812,0.0038548769176363,0.0016752457892691,0.0031269431959515,0.0007258487033411,0.998137700383812,10,0.0007955300541738,0.996480582524272,0.9991356023770934,0.9975686124656372,0.9987067883019864,0.0005690879181745,1.1610039242520869,10,0.023212618700743,1.133448686060344,1.2094750943855803,1.1443986171584362,1.1776092313457376,0.0166053070936506,1.3028098290598291,10,1.148233251719042,0.1090811965811966,3.645405982905983,0.4814132427571647,2.1242064153624938,0.8213965863026644,0.997000698976563,10,0.0010376623337997,0.995400788436268,0.998608211551844,0.9962584000599952,0.9977429978931306,0.0007422989165676,8902.4,10,300.02710988620123,8240.0,9255.0,8687.773534959182,9117.026465040815,214.62646504081656,8886.0,10,305.1542415092917,8211.0,9247.0,8667.705805944694,9104.294194055306,218.29419405530555,1835.8,10,577.4298995452946,1076.0,3014.0,1422.7315336361205,2248.8684663638796,413.0684663638798,1830.2,10,575.0833369559967,1072.0,3002.0,1418.8101633897084,2241.589836610292,411.38983661029175
ablation,hotspot_heavy,Hotspot Heavy,evaluation,no_tcn_prediction,No Prediction,229.2,10,14.045956318061398,208.0,256.0,219.1521281466642,239.24787185333577,10.047871853335776,259.1,10,2.8460498941515415,251.0,260.0,257.0640585534313,261.1359414465687,2.035941446568689,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0063641584372428,10,0.0018615970701744,0.0020284402433225,0.0087801410430545,0.0050324521169258,0.0076958647575597,0.0013317063203169,0.9904458638814349,10,0.0025157236561134,0.9862749546279492,0.994759825327511,0.9886462235904758,0.992245504172394,0.001799640290959,1.1053325140617478,10,0.017517221654403,1.0873315363881402,1.1454859114433582,1.092801448577542,1.1178635795459535,0.0125310654842057,0.3003952991452991,10,0.3627641290905183,0.0166666666666666,1.12275641025641,0.0408894741555511,0.5599011241350471,0.2595058249897479,0.9982350392124956,10,0.0009409629045488,0.996956786366403,1.0,0.9975619149004478,0.9989081635245436,0.0006731243120478,9197.0,10,165.70857954050942,8816.0,9356.0,9078.45922324418,9315.54077675582,118.54077675582153,9109.3,10,175.38088708737777,8695.0,9275.0,8983.840071243681,9234.759928756315,125.45992875631696,1984.8,10,641.5934676863362,1129.0,3309.0,1525.8316820535724,2443.7683179464275,458.9683179464274,1981.1,10,640.0575408161016,1129.0,3304.0,1523.230417947288,2438.969582052712,457.869582052712
ablation,rising_warning,Rising Warning,evaluation,full_tcn_ppa_leach,TCN-PPA-LEACH,226.1,10,15.708808569292156,198.0,253.0,214.86259530510804,237.33740469489192,11.237404694891955,257.2,10,5.411920998027307,246.0,260.0,253.32854493939783,261.07145506060215,3.8714550606021425,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0025816729338545,10,0.0006918265816655,0.0018311359515756,0.0037945210158043,0.0020867700109138,0.0030765758567953,0.0004949029229407,0.9967894078625528,10,0.0010276650354799,0.9951840385276918,0.9984775989560678,0.9960542605823796,0.9975245551427262,0.0007351472801733,1.1533147710607845,10,0.0164337925902681,1.134286635845608,1.1871183316050236,1.141558744039756,1.165070798081813,0.0117560270210283,0.3850854700854701,10,0.4142678568279638,0.0176282051282051,1.3537393162393163,0.0887360977745974,0.681434842396343,0.2963493723108727,0.9959429812177976,10,0.0017131517362372,0.9933234421364984,0.9980662315687696,0.9947174662922742,0.9971684961433208,0.0012255149255232,9106.6,10,188.4298867542573,8721.0,9328.0,8971.80537921574,9241.39462078426,134.79462078425877,9077.5,10,195.14965767043736,8679.0,9301.0,8937.898344684192,9217.101655315808,139.60165531580776,4205.9,10,231.9307607407387,3753.0,4626.0,4039.986728592983,4371.813271407016,165.91327140701674,4189.1,10,236.25196060326968,3728.0,4617.0,4020.0955284291663,4358.104471570835,169.00447157083417
ablation,rising_warning,Rising Warning,evaluation,no_aoi_term,No AoI,226.2,10,15.817009128712602,198.0,253.0,214.8851932876948,237.51480671230516,11.314806712305174,257.1,10,5.363456596884761,246.0,260.0,253.2632142834498,260.9367857165503,3.8367857165502337,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0025513935747375,10,0.0006628627189898,0.0018311359515756,0.0038162525620176,0.0020772101509859,0.0030255769984892,0.0004741834237516,0.996745652061932,10,0.0010112189573057,0.9951840385276918,0.9984775989560678,0.9960222695973568,0.9974690345265068,0.000723382464575,1.1537441429545496,10,0.015856859442242,1.13735199138859,1.1871183316050236,1.1424008290452554,1.165087456863844,0.0113433139092943,0.384732905982906,10,0.4145695834361635,0.0226495726495726,1.3537393162393163,0.0881676914591371,0.6812981205066748,0.2965652145237689,0.9958738851569348,10,0.0016489514237046,0.9933234421364984,0.9978383052313012,0.9946942963683484,0.9970534739455212,0.0011795887885864,9105.6,10,187.6694493576997,8721.0,9318.0,8971.34936335894,9239.85063664106,134.2506366410595,9076.1,10,194.15941331230317,8679.0,9290.0,8937.2067228244,9214.9932771756,138.8932771756005,4204.7,10,231.9363178882418,3753.0,4626.0,4038.782753249139,4370.61724675086,165.91724675086073,4187.6,10,235.94547392706363,3728.0,4616.0,4018.814775789584,4356.385224210417,168.78522421041674
ablation,rising_warning,Rising Warning,evaluation,no_priority_scheduler,No Priority Scheduler,226.1,10,15.708808569292156,198.0,253.0,214.86259530510804,237.33740469489192,11.237404694891955,257.2,10,5.411920998027307,246.0,260.0,253.32854493939783,261.07145506060215,3.8714550606021425,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0025816729338545,10,0.0006918265816655,0.0018311359515756,0.0037945210158043,0.0020867700109138,0.0030765758567953,0.0004949029229407,0.9967894078625528,10,0.0010276650354799,0.9951840385276918,0.9984775989560678,0.9960542605823796,0.9975245551427262,0.0007351472801733,1.1533147710607845,10,0.0164337925902681,1.134286635845608,1.1871183316050236,1.141558744039756,1.165070798081813,0.0117560270210283,0.3850854700854701,10,0.4142678568279638,0.0176282051282051,1.3537393162393163,0.0887360977745974,0.681434842396343,0.2963493723108727,0.9959429812177976,10,0.0017131517362372,0.9933234421364984,0.9980662315687696,0.9947174662922742,0.9971684961433208,0.0012255149255232,9106.6,10,188.4298867542573,8721.0,9328.0,8971.80537921574,9241.39462078426,134.79462078425877,9077.5,10,195.14965767043736,8679.0,9301.0,8937.898344684192,9217.101655315808,139.60165531580776,4205.9,10,231.9307607407387,3753.0,4626.0,4039.986728592983,4371.813271407016,165.91327140701674,4189.1,10,236.25196060326968,3728.0,4617.0,4020.0955284291663,4358.104471570835,169.00447157083417
ablation,rising_warning,Rising Warning,evaluation,no_suppression,No Suppression,224.7,10,16.048883657957855,193.0,249.0,213.21932024187643,236.18067975812357,11.48067975812356,256.3,10,6.272515001532037,244.0,260.0,251.8129130757386,260.7870869242614,4.487086924261405,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0024981623631707,10,0.0006116729304304,0.0017661268097772,0.0035205253023947,0.0020605979081811,0.0029357268181603,0.0004375644549895,0.9980545837273804,10,0.0005658696722099,0.99716134892699,0.99881669535284,0.9976497849494756,0.9984593825052852,0.0004047987779047,1.1543018700149077,10,0.0172673311801793,1.135702746365105,1.192191844300278,1.1419495654071783,1.1666541746226369,0.0123523046077291,0.4117735042735043,10,0.481864540006111,0.0377136752136752,1.5860042735042734,0.067068377829238,0.7564786307177706,0.3447051264442662,0.9959026095612508,10,0.0011668588259652,0.9935674082015544,0.9973209936678032,0.995067889041783,0.9967373300807184,0.0008347205194677,9094.2,10,202.51463595942337,8656.0,9296.0,8949.329756602712,9239.07024339729,144.8702433972881,9076.6,10,206.6269854377959,8632.0,9285.0,8928.78795900352,9224.41204099648,147.81204099647942,4193.3,10,239.78279523120273,3731.0,4613.0,4021.7697214941713,4364.830278505829,171.53027850582882,4176.3,10,242.2152623872685,3707.0,4600.0,4003.02963931549,4349.570360684511,173.2703606845103
ablation,rising_warning,Rising Warning,evaluation,no_tcn_prediction,No Prediction,247.5,10,11.147994338793762,221.0,260.0,239.52520526182496,255.47479473817504,7.974794738175034,259.8,10,0.6324555320336759,258.0,260.0,259.34756856742916,260.25243143257086,0.4524314325708197,260.0,10,0.0,260.0,260.0,260.0,260.0,0.0,0.0068513075238333,10,0.0013551640655798,0.0045468896216826,0.0082322541250198,0.0058818815507736,0.0078207334968931,0.0009694259730597,0.9979338116181984,10,0.0009359047838597,0.9960565231679264,0.9993584946006628,0.9972643056677168,0.99860331756868,0.0006695059504816,1.095514479177861,10,0.0118719036331939,1.08586511527688,1.1221818981634224,1.0870218309266275,1.1040071274290943,0.0084926482512333,0.0488247863247863,10,0.0947718827868591,0.0026709401709401,0.3141025641025641,-0.0189709345203108,0.1166205071698835,0.0677957208450972,0.9986079943585288,10,0.0012927186124149,0.9957255343082114,1.0,0.997683239171638,0.9995327495454194,0.0009247551868906,9314.2,10,68.93765299167067,9129.0,9360.0,9264.88497384978,9363.51502615022,49.31502615021936,9295.0,10,75.63949585589087,9093.0,9347.0,9240.890764274012,9349.109235725988,54.10923572598794,4410.2,10,173.44406719298428,4169.0,4703.0,4286.1255887307925,4534.274411269207,124.07441126920696,4404.1,10,174.47664600169273,4169.0,4701.0,4279.2869263490065,4528.913073650994,124.81307365099376
